"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report S300004 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[563706] Report(S300004)","Entity[563706] Report(S300004[00000])","Entity[563706] Report(S300004[00100])"
"Line(00100)", ,"13228085"
"Line(00300)", ,"1249682"
"Line(00400)", ,"24052899"
"Line(00800)", ,"62112077"
"Line(01000)", ,"-609829"
"Line(01100)", ,"800552"
"Line(01300)", ,"4603556"
"Line(01500)", ,"3859674"
"Line(01700)", ,"39862259"
"Line(01900)", ,"1705825"
"Line(02000)", ,"386272"
"Line(02200)", ,"153761"
"Line(02300)", ,"861716"
"Line(02400)", ,"152266529"
