"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report G300000 ","-------------","-------------","-----------",""
"","","","","",""
"","Description","","","",""
"1","\" Total patient revenues (from Worksheet G-2"," Part I"," column 3"," line 28)\"","","","","1"
"2"," Less contractual allowances and discounts on patients' accounts","","","","2"
"3"," Net patient revenues (line 1 minus line 2)","","","","3"
"4","\" Less total operating expenses (from Worksheet G-2"," Part II"," line 43)\"","","","","4"
"5"," Net income from service to patients (line 3 minus line 4)","","","","5"
"","","","","",""
""," OTHER INCOME","","","",""
"","","","","",""
"6","\" Contributions"," donations"," bequests"," etc\"","","","","6"
"7"," Income from investments","","","","7"
"8"," Revenues from telephone and telegraph service","","","","8"
"9"," Revenue from television and radio service","","","","9"
"10"," Purchase discounts","","","","10"
"11"," Rebates and refunds of expenses","","","","11"
"12"," Parking lot receipts","","","","12"
"13"," Revenue from laundry and linen service","","","","13"
"14"," Revenue from meals sold to employees and guests","","","","14"
"15"," Revenue from rental of living quarters","","","","15"
"16"," Revenue from sale of medical and surgical supplies to other than patients","","","","16"
"17"," Revenue from sale of drugs to other than patients","","","","17"
"18"," Revenue from sale of medical records and abstracts","","","","18"
"19","\" Tuition (fees"," sale of textbooks"," uniforms"," etc.)\"","","","","19"
"20","\" Revenue from gifts"," flowers"," coffee shops"," and canteen\"","","","","20"
"21"," Rental of vending machines","","","","21"
"22"," Rental of hospital space","","","","22"
"23"," Governmental appropriations","","","","23"
"24"," Other (specify)","","","","24"
"25"," Total other income (sum of lines 6-24)","","","","25"
"26"," Total (line 5 plus line 25)","","","","26"
"27"," Other expenses (specify)","","","","27"
"28"," Total other expenses (sum of line 27 and subscripts)","","","","28"
"29"," Net income (or loss) for the period (line 26 minus line 28)","","","","29"
"Entity[572851] Report(G300000)","Entity[572851] Report(G300000[00000])","Entity[572851] Report(G300000[00100])"
"Line(00100)", ,"2147483647"
"Line(00200)", ,"2147483647"
"Line(00300)", ,"1522596579"
"Line(00400)", ,"1506056869"
"Line(00500)", ,"16539710"
"Line(00600)", ,"54025886"
"Line(00700)", ,"217498403"
"Line(01000)", ,"4971791"
"Line(01200)", ,"484029"
"Line(01400)", ,"7418415"
"Line(01500)", ,"179068"
"Line(01700)", ,"2893429"
"Line(01800)", ,"176948"
"Line(01900)", ,"3129895"
"Line(02000)", ,"82970"
"Line(02300)", ,"101209"
"Line(02400)","OTHER - CONTRACT REVENUE","656009"
"Line(02401)","EDUCATION AND RESEARCH","135377"
"Line(02402)","FITNESS PROGRAM REVENUE","214556"
"Line(02403)","MISC PROGRAM REVENUE","146800"
"Line(02404)","PHYSICIAN SERVICES"
"Line(02410)","RADIOLOGY JOINT VENTURE REV","761159"
"Line(02411)","ACTIVITY & APPLICATION FEES","909321"
"Line(02412)","REFERENCE LAB REVENUE","910070"
"Line(02414)","SEMINARS & EDUC PROGRAMS","2797957"
"Line(02415)","EXTERNAL TRANSPORT REVENUE","2962527"
"Line(02416)","MISC. OTHER","4001894"
"Line(02418)","AFFILIATE SUPPORT SERVICES","3305077"
"Line(02500)", ,"307762790"
"Line(02600)", ,"324302500"
"Line(02700)","OTHER MISC EXPENSES","178"
"Line(02800)", ,"178"
