"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report L00A181 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[572851] Report(L00A181)", ,"Entity[572851] Report(L00A181[00100])"
"Line(00100)", ,"9809343"
"Line(00200)", ,"790554"
"Line(00300)", ,"666"
"Line(00400)", ,"182"
"Line(00500)", ,"8"
"Line(00600)", ,"786709"
"Line(00700)", ,"0"
"Line(00800)", ,"0"
"Line(00900)", ,"0"
"Line(01000)", ,"0"
"Line(01100)", ,"908345"
