"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000D0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000D0)","Entity[572851] Report(A6000D0[00000])","Entity[572851] Report(A6000D0[00100])", ,"Entity[572851] Report(A6000D0[00300])", ,"Entity[572851] Report(A6000D0[00500])", ,"Entity[572851] Report(A6000D0[00700])", ,"Entity[572851] Report(A6000D0[00900])"
"Line(00100)","FILE 300.15 IMPLANTS","D", ,"72", ,"73233256", ,"5", ,"944"
"Line(00200)","FILE 300.15 IMPLANTS","D", , , , , ,"23", ,"5"
"Line(00300)","FILE 300.15 IMPLANTS","D", , , , , ,"30", ,"1245"
"Line(00400)","FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"7495"
"Line(00500)","FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"723"
"Line(00600)","FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"900"
"Line(00700)","FILE 300.15 IMPLANTS","D", , , , , ,"34", ,"200"
"Line(00800)","FILE 300.15 IMPLANTS","D", , , , , ,"41", ,"92"
"Line(00900)","FILE 300.15 IMPLANTS","D", , , , , ,"50", ,"54035753"
"Line(01000)","FILE 300.15 IMPLANTS","D", , , , , ,"51", ,"650"
"Line(01100)","FILE 300.15 IMPLANTS","D", , , , , ,"54", ,"1911033"
"Line(01200)","FILE 300.15 IMPLANTS","D", , , , , ,"57", ,"9930"
"Line(01300)","FILE 300.15 IMPLANTS","D", , , , , ,"58", ,"110"
"Line(01400)","FILE 300.15 IMPLANTS","D", , , , , ,"59", ,"12389479"
"Line(01500)","FILE 300.15 IMPLANTS","D", , , , , ,"65", ,"3012"
"Line(01600)","FILE 300.15 IMPLANTS","D", , , , , ,"66", ,"7320"
"Line(01700)","FILE 300.15 IMPLANTS","D", , , , , ,"75", ,"2837979"
"Line(01800)","FILE 300.15 IMPLANTS","D", , , , , ,"76", ,"395412"
"Line(01900)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"11755"
"Line(02000)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"842"
"Line(02100)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"8290"
"Line(02200)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"51267"
"Line(02300)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"8"
"Line(02400)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"41885"
"Line(02500)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"297"
"Line(02600)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"1316960"
"Line(02700)","FILE 300.15 IMPLANTS","D", , , , , ,"90", ,"4185"
"Line(02800)","FILE 300.15 IMPLANTS","D", , , , , ,"191", ,"1242"
"Line(02900)","FILE 300.15 IMPLANTS","D", , , , , ,"192", ,"194243"
