"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000F0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000F0)","Entity[572851] Report(A6000F0[00000])","Entity[572851] Report(A6000F0[00100])", ,"Entity[572851] Report(A6000F0[00300])", ,"Entity[572851] Report(A6000F0[00500])", ,"Entity[572851] Report(A6000F0[00700])", ,"Entity[572851] Report(A6000F0[00900])"
"Line(00100)","FILE 300.17 FRINGE BENEFITS","F", ,"4", ,"32558138", ,"5", ,"82888"
"Line(00200)","FILE 300.17 FRINGE BENEFITS","F", ,"40", ,"839", ,"10", ,"60"
"Line(00300)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"13", ,"240"
"Line(00400)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"15", ,"156968"
"Line(00500)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"17", ,"28023"
"Line(00600)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"22", ,"5968225"
"Line(00700)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"30", ,"455230"
"Line(00800)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"31", ,"872432"
"Line(00900)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"31", ,"809866"
"Line(01000)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"34", ,"419916"
"Line(01100)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"41", ,"16146"
"Line(01200)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"50", ,"400"
"Line(01300)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"50", ,"98627"
"Line(01400)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1909"
"Line(01500)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1054064"
"Line(01600)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1040435"
"Line(01700)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"922245"
"Line(01800)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"6402903"
"Line(01900)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"177664"
"Line(02000)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"63"
"Line(02100)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"80898"
"Line(02200)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"742808"
"Line(02300)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"334847"
"Line(02400)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"1624940"
"Line(02500)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"439754"
"Line(02600)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"510714"
"Line(02700)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"65"
"Line(02800)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"66"
"Line(02900)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"948563"
"Line(03000)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"90", ,"2753"
"Line(03100)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"91", ,"2123379"
"Line(03200)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"91", ,"920721"
"Line(03300)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"191", ,"2281888"
"Line(03400)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"192", ,"2945499"
"Line(03500)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"192", ,"26330"
"Line(03600)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"272638"
"Line(03700)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"303828"
"Line(03800)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"14736"
"Line(03900)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"57597"
"Line(04000)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"127099"
"Line(04100)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"38382"
"Line(04200)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"199355"
"Line(04300)","FILE 300.17 FRINGE BENEFITS","F", , , , , ,"194", ,"53813"
