"----------"," Entity 572851"," Report E00A18A ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"applicable box:","","","   [ ] Subprovider (Other)","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"PART A - INPATIENT HOSPITAL SERVICES UNDER PPS","","","","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
" DRG amounts other than outlier payments","","","","","","","1", , , , , , , , , , , , 
" Outlier payments for discharges  (see instructions)","","","","","","","2", , , , , , , , , , , , 
" Managed care simulated payments","","","","","","","3", , , , , , , , , , , , 
" Bed days available divided by number of days in the cost reporting period  (see instructions)","","","","","","","4", , , , , , , , , , , , 
" Indirect Medical Education Adjustment Calculation for Hospitals","","","","","","","", , , , , , , , , , , , 
" FTE count for allopathic and osteopathic programs for the most recent cost reporting period ending on or ","","","","","","","5", , , , , , , , , , , , 
" before 12/31/1996  (see instructions)","","","","","","","", , , , , , , , , , , , 
" FTE count for allopathic and osteopathic programs which meet the criteria for an add-on to the cap for new programs in","","","","","","","6", , , , , , , , , , , , 
" in accordance with 42 CFR 413.79(e)","","","","","","","", , , , , , , , , , , , 
" MMA Section 422 reduction amount to the IME cap as specified under 42 CFR �412.105(f)(1)(iv)(B)(1)","","","","","","","7", , , , , , , , , , , , 
"7.01  ACA Section 5503 reduction amount to the IME cap as specified under 42 CFR �412.105(f)(1)(iv)(B)(2)","","","","","","","7.01", , , , , , , , , , , , 
"\" If the cost report straddles July 1"," 2011 then see instructions.\"","","","","","","","", , , , , , , , , , , 
" Adjustment (increase or decrease) to the FTE count for allopathic and osteopathic programs for affiliated programs in accordance","","","","","","","8", , , , , , , , , , , , 
"\" with 42 CFR 413.75(b)"," 413.79(c)(2)(iv) and Vol. 64 Federal Register"," May 12"," 1998"," page 26340 and Vol. 67 Federal Register","\"","","","","","","","", , , , , , , 
"\" page 50069"," August 1"," 2002.\"","","","","","","","", , , , , , , , , , 
" 8.01 The amount of increase if the hospital was awarded FTE cap slots under section 5503 of the ACA.   ","","","","","","","8.01", , , , , , , , , , , , 
"\" If the cost report straddles July 1"," 2011"," see instructions.\"","","","","","","","", , , , , , , , , , 
" 8.02 The amount of increase if the hospital was awarded FTE cap slots from a closed teaching hospital under ","","","","","","","8.02", , , , , , , , , , , , 
" section 5506 of ACA. (see instructions)","","","","","","","", , , , , , , , , , , , 
" Sum of lines 5 plus 6 minus lines (7 and 7.01) plus/minus line 8 plus lines (8.01 and 8.02)  (see instructions)","","","","","","","9", , , , , , , , , , , , 
" FTE count for allopathic and osteopathic programs in the current year from your records","","","","","","","10", , , , , , , , , , , , 
" FTE count for residents in dental and podiatric programs","","","","","","","11", , , , , , , , , , , , 
" Current year allowable FTE  (see instructions)","","","","","","","12", , , , , , , , , , , , 
" Total allowable FTE count for the prior year","","","","","","","13", , , , , , , , , , , , 
"\" Total allowable FTE count for the penultimate year if that year ended on or after September 30"," 1997"," otherwise enter zero.\"","","","","","","","14", , , , , , , , , , 
" Sum of lines 12 through 14 divided by 3","","","","","","","15", , , , , , , , , , , , 
" Adjustment for residents in initial years of the program","","","","","","","16", , , , , , , , , , , , 
" Adjustment for residents displaced by program or hospital closure","","","","","","","17", , , , , , , , , , , , 
" Adjusted rolling average FTE count","","","","","","","18", , , , , , , , , , , , 
" Current year resident to bed ratio (line 18 divided by line 4)","","","","","","","19", , , , , , , , , , , , 
" Prior year resident to bed ratio  (see instructions)","","","","","","","20", , , , , , , , , , , , 
" Enter the lesser of lines 19 or 20  (see instructions)","","","","","","","21", , , , , , , , , , , , 
" IME payment adjustment  (see instructions)","","","","","","","22", , , , , , , , , , , , 
" Indirect Medical Education Adjustment for the Add-on for Section 422 of the MMA","","","","","","","", , , , , , , , , , , , 
" Number of additional allopathic and osteopathic IME FTE resident cap slots under 42 Sec. 412.105 (f)(1)(iv)(C ).","","","","","","","23", , , , , , , , , , , , 
" IME FTE resident count over cap  (see instructions)","","","","","","","24", , , , , , , , , , , , 
"\" If the amount on line 24 is greater than -0-"," then enter the lower of line 23 or line 24  (see instructions) \"","","","","","","","25", , , , , , , , , , , 
" Resident to bed ratio (divide line 25 by line 4)","","","","","","","26", , , , , , , , , , , , 
" IME payments adjustment  (see instructions)","","","","","","","27", , , , , , , , , , , , 
" IME Adjustment  (see instructions)","","","","","","","28", , , , , , , , , , , , 
" Total IME payment (sum of lines 22 and 28)","","","","","","","29", , , , , , , , , , , , 
" Disproportionate Share Adjustment","","","","","","","", , , , , , , , , , , , 
" Percentage of SSI recipient patient days to Medicare Part A patient days  (see instructions)","","","","","","","30", , , , , , , , , , , , 
"\" Percentage of Medicaid patient days to total days reported on Worksheet S-2"," Part I"," line 24. (see instructions)\"","","","","","","","31", , , , , , , , , , 
" Sum of lines 30 and 31","","","","","","","32", , , , , , , , , , , , 
" Allowable disproportionate share percentage  (see instructions)","","","","","","","33", , , , , , , , , , , , 
" Disproportionate share adjustment  (see instructions)","","","","","","","34", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"Check","",""," [ ] Hospital"," [ ] IPF","","","", , , , , , , , , , , , 
"applicable box:","",""," [ ] IRF"," [ ] Subprovider (other)","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"PART A - INPATIENT HOSPITAL SERVICES UNDER PPS","","","","","","","", , , , , , , , , , , , 
"","","","","","","","", , , , , , , , , , , , 
"Additional payment for high percentage of ESRD beneficiary discharges","","","","","","","", , , , , , , , , , , , 
"\" Total Medicare discharges on Worksheet S-3"," Part I excluding discharges for MS-DRGs 652"," 682"," 683"," \"","","","","","","","40", , , , , , , , 
" 684 and 685  (see instructions)","","","","","","","", , , , , , , , , , , , 
"\" Total ESRD Medicare discharges excluding MS-DRGs 652"," 682"," 683"," 684 an 685  (see instructions)\"","","","","","","","41", , , , , , , , , 
"\" Divide line 41 by line 40 (if less than 10%"," you do not qualify for adjustment)\"","","","","","","","42", , , , , , , , , , , 
"\" Total Medicare ESRD inpatient days excluding MS-DRGs 652"," 682"," 683"," 684 an 685  (see instructions)\"","","","","","","","43", , , , , , , , , 
" Ratio of average length of stay to one week (line 43 divided by line 41 divided by 7 days)","","","","","","","44", , , , , , , , , , , , 
" Average weekly cost for dialysis treatments  (see instructions) ","","","","","","","45", , , , , , , , , , , , 
" Total additional payment (line 45 times line 44 times line 41)","","","","","","","46", , , , , , , , , , , , 
" Subtotal  (see instructions) ","","","","","","","47", , , , , , , , , , , , 
