"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[572851] Report(A820010)", ,"Entity[572851] Report(A820010[00100])","Entity[572851] Report(A820010[00200])","Entity[572851] Report(A820010[00300])","Entity[572851] Report(A820010[00400])","Entity[572851] Report(A820010[00500])","Entity[572851] Report(A820010[00600])","Entity[572851] Report(A820010[00700])","Entity[572851] Report(A820010[00800])","Entity[572851] Report(A820010[00900])", , , , , , ,"Entity[572851] Report(A820010[01600])","Entity[572851] Report(A820010[01700])","Entity[572851] Report(A820010[01800])"
"Line(00100)", ,"5","ADMINISTRATIVE & GENERAL","960190","960190", ,"177200", , , , , , , , , , , ,"960190"
"Line(00200)", ,"192","PHYSICIANS PRIVATE OFFICES","46820","46820", ,"177200", , , , , , , , , , , ,"46820"
"Line(00300)", ,"90","CLINIC - MYERS PARK","23800","23800", ,"165600", , , , , , , , , , , ,"23800"
"Line(00400)", ,"90","CLINIC - DENTISTRY","238200","238200", ,"177200", , , , , , , , , , , ,"238200"
"Line(00500)", ,"90","CLINIC - MYERS PARK","169115","169115", ,"208000", , , , , , , , , , , ,"169115"
"Line(00600)", ,"90","CLINIC - MYERS PARK","94732","90703","4029","165600","18","1433","72", , , , , , ,"1433","2596","93299"
"Line(00700)", ,"90","CLINIC - DENTISTRY","103339","103339", ,"177200", , , , , , , , , , , ,"103339"
"Line(00800)", ,"91","EMERGENCY","140980","140980", ,"177200", , , , , , , , , , , ,"140980"
"Line(00900)", ,"90","CLINIC - MYERS PARK","44075","39462","4613","138700","35","2334","117", , , , , , ,"2334","2279","41741"
"Line(01000)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","55930", ,"55930","177200","658","56057","2803", , , , , , ,"56057"
"Line(01100)", ,"90","CLINIC - MYERS PARK","107100","107100", ,"177200", , , , , , , , , , , ,"107100"
"Line(01200)", ,"90","CLINIC - MYERS PARK","26363","26363", ,"177200", , , , , , , , , , , ,"26363"
"Line(01300)", ,"90","POST TRANSPLANT CLINIC","62895","62895", ,"196400", , , , , , , , , , , ,"62895"
"Line(01400)", ,"90","CLINIC - MYERS PARK","5750","5750", ,"165600", , , , , , , , , , , ,"5750"
"Line(01500)", ,"90","CLINIC - MYERS PARK","37981","37981", ,"165600", , , , , , , , , , , ,"37981"
"Line(01600)", ,"105","KIDNEY ACQUISITION","353060","353060", ,"208000", , , , , , , , , , , ,"353060"
"Line(01700)", ,"5","ADMINISTRATIVE & GENERAL","61020","9558","51462","177200","191","16272","814", , , , , , ,"16272","35190","44748"
"Line(01800)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","32340","32340", ,"177200", , , , , , , , , , , ,"32340"
"Line(01900)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","160271","105664","54607","177200","352","29988","1499", , , , , , ,"29988","24619","130283"
"Line(02000)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","497277","112308","384969","177200","1428","121655","6083", , , , , , ,"121655","263314","375622"
"Line(02100)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","17123","9923","7200","177200","48","4089","204", , , , , , ,"4089","3111","13034"
"Line(02200)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","404481","404481", ,"177200", , , , , , , , , , , ,"404481"
"Line(02300)", ,"22","I&R SERVICES-OTHER PRGM COSTS APPRV","12294","12294", ,"177200", , , , , , , , , , , ,"12294"
"Line(02400)", ,"31","NEONATAL INTENSIVE CARE UNIT","93600","93600", ,"177200", , , , , , , , , , , ,"93600"
"Line(02500)", ,"5","ADMINISTRATIVE & GENERAL","4317","1450","2867","177200","23","1959","98", , , , , , ,"1959","908","2358"
"Line(02600)", ,"30","ADULTS & PEDIATRICS","68965","68965", ,"140600", , , , , , , , , , , ,"68965"
"Line(02700)", ,"107","LIVER ACQUISITION","274814","274814", ,"208000", , , , , , , , , , , ,"274814"
"Line(02800)", ,"91","EMERGENCY","3735452","3678075","57377","177200","157","13375","669", , , , , , ,"13375","44002","3722077"
"Line(02900)", ,"5","ADMINISTRATIVE & GENERAL","704404","627655","76749","177200","384","32714","1636", , , , , , ,"32714","44035","671690"
"Line(03000)", ,"50","BONE MARROW TRANSPLANT","140","140", ,"208000", , , , , , , , , , , ,"140"
"Line(03100)", ,"50","OPERATING ROOM","26764","8483","18281","177200","94","8008","400", , , , , , ,"8008","10273","18756"
"Line(03200)", ,"5","ADMINISTRATIVE & GENERAL","33333","4166","29167","177200","80","6815","341", , , , , , ,"6815","22352","26518"
"Line(03300)", ,"191","RESEARCH","213263","34380","178883","177200","797","67898","3395", , , , , , ,"67898","110985","145365"
"Line(03400)", ,"90","CLINIC - ONCOLOGY","26375","26375", ,"177200", , , , , , , , , , , ,"26375"
"Line(03500)", ,"77","CARDIAC REHABILITATION","1340","1340", ,"177200", , , , , , , , , , , ,"1340"
"Line(03600)", ,"90","CLINIC - ONCOLOGY","89550","57723","31827","177200","202","17209","860", , , , , , ,"17209","14618","72341"
"Line(03700)", ,"69","ELECTROCARDIOLOGY","206646","206646", ,"177200", , , , , , , , , , , ,"206646"
"Line(03800)", ,"90","INFUSION CENTER","63250","63250", ,"177200", , , , , , , , , , , ,"63250"
"Line(03900)", ,"74","RENAL DIALYSIS","119700","119700", ,"177200", , , , , , , , , , , ,"119700"
"Line(04100)", ,"5","ADMINISTRATIVE & GENERAL","365004","365004", ,"177200", , , , , , , , , , , ,"365004"
"Line(04200)", ,"90","PAIN MANAGEMENT","3750","3750", ,"177200", , , , , , , , , , , ,"3750"
"Line(04400)", ,"65","RESPIRATORY THERAPY","990","990", ,"177200", , , , , , , , , , , ,"990"
"Line(04800)", ,"90","MENTAL HEALTH O/P CLINIC","20351","20351", ,"154100", , , , , , , , , , , ,"20351"
"Line(04900)", ,"90","MENTAL HEALTH O/P CLINIC","162291","162291", ,"154100", , , , , , , , , , , ,"162291"
"Line(05000)", ,"91","EMERGENCY-SUBPROVIDER","5702","5702", ,"177200", , , , , , , , , , , ,"5702"
"Line(05100)", ,"5","ADMINISTRATIVE & GENERAL","64782","14086","50696","177200","296","25217","1261", , , , , , ,"25217","25479","39565"
"Line(05200)", ,"69","ELECTROCARDIOLOGY","13455","13455", ,"177200", , , , , , , , , , , ,"13455"
"Line(05300)", ,"30","ADULTS & PEDIATRICS","39627", ,"39627","177200","333","28369","1418", , , , , , ,"28369","11258","11258"
"Line(05400)", ,"74","RENAL DIALYSIS","3800","380","3420","177200","18","1533","77", , , , , , ,"1533","1887","2267"
