"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000U0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000U0)","Entity[572851] Report(A6000U0[00000])","Entity[572851] Report(A6000U0[00100])", ,"Entity[572851] Report(A6000U0[00300])","Entity[572851] Report(A6000U0[00400])", , ,"Entity[572851] Report(A6000U0[00700])","Entity[572851] Report(A6000U0[00800])"
"Line(00100)","FILE 821 NURSING SCHOOL","U", ,"20","532186", , ,"30","158675"
"Line(00200)","FILE 821 NURSING SCHOOL","U", , , , , ,"31","28875"
"Line(00300)","FILE 821 NURSING SCHOOL","U", , , , , ,"31","26571"
"Line(00400)","FILE 821 NURSING SCHOOL","U", , , , , ,"32","15923"
"Line(00500)","FILE 821 NURSING SCHOOL","U", , , , , ,"34","5262"
"Line(00600)","FILE 821 NURSING SCHOOL","U", , , , , ,"34","38837"
"Line(00700)","FILE 821 NURSING SCHOOL","U", , , , , ,"34","23617"
"Line(00800)","FILE 821 NURSING SCHOOL","U", , , , , ,"34","13729"
"Line(00900)","FILE 821 NURSING SCHOOL","U", , , , , ,"34","6727"
"Line(01000)","FILE 821 NURSING SCHOOL","U", , , , , ,"34","24929"
"Line(01100)","FILE 821 NURSING SCHOOL","U", , , , , ,"40","4081"
"Line(01200)","FILE 821 NURSING SCHOOL","U", , , , , ,"41","3198"
"Line(01300)","FILE 821 NURSING SCHOOL","U", , , , , ,"50","24055"
"Line(01400)","FILE 821 NURSING SCHOOL","U", , , , , ,"51","5082"
"Line(01500)","FILE 821 NURSING SCHOOL","U", , , , , ,"52","86456"
"Line(01600)","FILE 821 NURSING SCHOOL","U", , , , , ,"75","4102"
"Line(01700)","FILE 821 NURSING SCHOOL","U", , , , , ,"90","12573"
"Line(01800)","FILE 821 NURSING SCHOOL","U", , , , , ,"91","31077"
"Line(01900)","FILE 821 NURSING SCHOOL","U", , , , , ,"91","1156"
"Line(02000)","FILE 821 NURSING SCHOOL","U", , , , , ,"92","17261"
