"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A600AA0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A600AA0)","Entity[572851] Report(A600AA0[00000])","Entity[572851] Report(A600AA0[00100])", ,"Entity[572851] Report(A600AA0[00300])","Entity[572851] Report(A600AA0[00400])", , ,"Entity[572851] Report(A600AA0[00700])","Entity[572851] Report(A600AA0[00800])"
"Line(00100)","RECLASS PHYS SAL EXCEPTION","AA", ,"30","105895", , ,"5","45733"
"Line(00200)","RECLASS PHYS SAL EXCEPTION","AA", ,"31","395167", , ,"22","6333970"
"Line(00300)","RECLASS PHYS SAL EXCEPTION","AA", ,"34","238242", , ,"194","257616"
"Line(00400)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","25271", , ,"194","1320449"
"Line(00500)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","443354"
"Line(00600)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","353471"
"Line(00700)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","3341861"
"Line(00800)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","137841"
"Line(00900)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","56132"
"Line(01000)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","281091"
"Line(01100)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","70361"
"Line(01200)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","449758"
"Line(01300)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","148231"
"Line(01400)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","107517"
"Line(01500)","RECLASS PHYS SAL EXCEPTION","AA", ,"90","149671"
"Line(01600)","RECLASS PHYS SAL EXCEPTION","AA", ,"91","855863"
"Line(01700)","RECLASS PHYS SAL EXCEPTION","AA", ,"91","58954"
"Line(01800)","RECLASS PHYS SAL EXCEPTION","AA", ,"192","602421"
"Line(01900)","RECLASS PHYS SAL EXCEPTION","AA", ,"194","20000"
"Line(02000)","RECLASS PHYS SAL EXCEPTION","AA", ,"194","116667"
