"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A000000 ","-------------","-------------","-----------",""
"","COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION"
"","(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)"
"","","1","2","3","4","5","6","7"
"Entity[572851] Report(A000000)","Entity[572851] Report(A000000[00000])","Entity[572851] Report(A000000[00100])","Entity[572851] Report(A000000[00200])","Entity[572851] Report(A000000[00300])","Entity[572851] Report(A000000[00400])","Entity[572851] Report(A000000[00500])","Entity[572851] Report(A000000[00600])","Entity[572851] Report(A000000[00700])"
"Line(00100)","00100CAP REL COSTS-BLDG & FIXT", , , ,"27260985","27260985","463146","27724131"
"Line(00200)","00200CAP REL COSTS-MVBLE EQUIP", , , ,"42668366","42668366","492729","43161095"
"Line(00300)","00300OTHER CAP REL COSTS"
"Line(00400)","00400EMPLOYEE BENEFITS DEPARTMENT","5569913","128016862","133586775","41674042","175260817","-6188375","169072442"
"Line(00500)","00500ADMINISTRATIVE & GENERAL","18029589","314962401","332991990","-103600474","229391516","-26920496","202471020"
"Line(00700)","00700OPERATION OF PLANT","6305827","15040415","21346242","4198620","25544862","-452328","25092534"
"Line(00800)","00800LAUNDRY & LINEN SERVICE","276437","4116163","4392600","3572","4396172","385516","4781688"
"Line(00900)","00900HOUSEKEEPING","5785533","5203002","10988535","52546","11041081","12294","11053375"
"Line(01000)","01000DIETARY","1178108","20412425","21590533","10437","21600970","-7357656","14243314"
"Line(01100)","01100CAFETERIA"
"Line(01300)","01300NURSING ADMINISTRATION","6798451","847388","7645839","9354627","17000466","-924269","16076197"
"Line(01400)","01400CENTRAL SERVICES & SUPPLY","1861438","4856332","6717770","3987640","10705410","-39261","10666149"
"Line(01500)","01500PHARMACY","17025406","55659353","72684759","-49204625","23480134","-2910407","20569727"
"Line(01600)","01600MEDICAL RECORDS & LIBRARY","5317330","2968613","8285943","48353","8334296","-28516","8305780"
"Line(01700)","01700SOCIAL SERVICE","8673401","599044","9272445","50841","9323286","-607339","8715947"
"Line(01800)","01850VOLUNTEERS","184001","144271","328272","1673","329945","-111665","218280"
"Line(01900)","01900NONPHYSICIAN ANESTHETISTS"
"Line(02000)","02000NURSING SCHOOL","3287176","1360655","4647831","617308","5265139","-2522845","2742294"
"Line(02100)","02100I&R SERVICES-SALARY & FRINGES A", , , ,"13680980","13680980", ,"13680980"
"Line(02200)","02200I&R SERVICES-OTHER PRGM COSTS A","27837147","15026502","42863649","-11653406","31210243","-10135331","21074912"
"Line(02300)","02300PARAMED ED PRGM-(SPECIFY)","401706","17742","419448","95214","514662","-256","514406"
"Line(02301)","02301PARAMED X-RAY","449893","17525","467418","109317","576735","148408","725143"
"Line(02302)","02302PARAMED CRNA","669276","754398","1423674","904234","2327908","-1032075","1295833"
"Line(02303)","02303PASTORAL CARE","905959","235177","1141136","-687171","453965","-67562","386403"
"Line(02304)","02304PARAMED SURGICAL CARE","125414","6490","131904","84705","216609","3622","220231"
"Line(02305)","02305PARAMED PHARMACY","427845","23150","450995","53976","504971","-324","504647"
"Line(03000)","03000ADULTS & PEDIATRICS","69525845","7989637","77515482","-3388061","74127421","-3570976","70556445"
"Line(03100)","03100INTENSIVE CARE UNIT","11587490","7393044","18980534","-1412396","17568138","-11698275","5869863"
"Line(03101)","03101NEONATAL INTENSIVE CARE UNIT","15799550","3467881","19267431","-1099199","18168232","-8556423","9611809"
"Line(03200)","03200CORONARY CARE UNIT","3713556","599317","4312873","-109612","4203261","1303","4204564"
"Line(03201)","03201CVRU","2242594","334822","2577416","-57967","2519449","-1854","2517595"
"Line(03300)","03300BURN INTENSIVE CARE UNIT"
"Line(03400)","03400SURGICAL INTENSIVE CARE UNIT"
"Line(03401)","03401NEURO INTENSIVE CARE UNIT","8505349","1220418","9725767","-152051","9573716","12890","9586606"
"Line(03402)","03402TRAUMA INTENSIVE CARE UNIT","6256872","1318806","7575678","-303306","7272372","24","7272396"
"Line(03403)","03403PROGRESSIVE INTENSIVE CARE UNIT","3815299","656110","4471409","-61158","4410251","359","4410610"
"Line(03404)","03404PEDIATRIC INTENSIVE CARE UNIT","6912230","1730091","8642321","-645754","7996567","-3715928","4280639"
"Line(03405)","03405EPILEPSY INTENSIVE CARE UNIT","392268","17045","409313","2930","412243","104","412347"
"Line(03406)","03406PEDS PROGRESSIVE INTENSIVE CARE","3039424","467042","3506466","-13608","3492858","3112","3495970"
"Line(03407)","03407NEONATAL PROGRESSIVE ICU","4027405","368319","4395724","-10305","4385419","603","4386022"
"Line(04000)","04000SUBPROVIDER - IPF","8901927","342573","9244500","446583","9691083","-95825","9595258"
"Line(04100)","04100SUBPROVIDER - IRF","1373463","153622","1527085","-18368","1508717","-84204","1424513"
"Line(04200)","04200SUBPROVIDER"
"Line(04300)","04300NURSERY", , , ,"3250430","3250430", ,"3250430"
"Line(05000)","05000OPERATING ROOM","19194454","90628116","109822570","-79249394","30573176","-6578249","23994927"
"Line(05001)","05001BONE MARROW TRANSPLANT","1791702","668962","2460664","-123232","2337432","-671535","1665897"
"Line(05100)","05100RECOVERY ROOM","7028660","663589","7692249","-98904","7593345","13069","7606414"
"Line(05200)","05200DELIVERY ROOM & LABOR ROOM","8877429","1851118","10728547","-760869","9967678","-384141","9583537"
"Line(05300)","05300ANESTHESIOLOGY","27162789","6372493","33535282","-1288205","32247077","-24118321","8128756"
