"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report S100000 ","-------------","-------------","-----------",""
" Uncompensated and indigent care cost computation"
"Entity[572851] Report(S100000)", ,"Entity[572851] Report(S100000[00100])","Entity[572851] Report(S100000[00200])","Entity[572851] Report(S100000[00300])"
"Line(00100)", ,"0"
"Line(00200)", ,"169271799"
"Line(00300)", ,"Y"
"Line(00400)", ,"N"
"Line(00500)", ,"110114857"
"Line(00600)", ,"843466893"
"Line(00700)", ,"224858152"
"Line(00900)", ,"4505828"
"Line(01000)", ,"21606343"
"Line(01100)", ,"5759992"
"Line(01200)", ,"1254164"
"Line(01900)", ,"1254164"
"Line(02000)", ,"157447409","1179198","158626607"
"Line(02100)", ,"41973590","314360","42287950"
"Line(02200)", ,"283761","108397","392158"
"Line(02300)", ,"41689829","205963","41895792"
"Line(02400)", ,"N"
"Line(02600)", ,"182582097"
"Line(02700)", ,"4097493"
"Line(02800)", ,"178484604"
"Line(02900)", ,"47581854"
"Line(03000)", ,"89477646"
