"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000C0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000C0)","Entity[572851] Report(A6000C0[00000])","Entity[572851] Report(A6000C0[00100])", ,"Entity[572851] Report(A6000C0[00300])", ,"Entity[572851] Report(A6000C0[00500])", ,"Entity[572851] Report(A6000C0[00700])", ,"Entity[572851] Report(A6000C0[00900])"
"Line(00100)","FILE 300.14 MEDICAL SUPPLY","C", ,"71", ,"45236750", ,"5", ,"22982"
"Line(00200)","FILE 300.14 MEDICAL SUPPLY","C", ,"71", ,"762710", ,"7", ,"3"
"Line(00300)","FILE 300.14 MEDICAL SUPPLY","C", ,"13", ,"414", ,"14", ,"777754"
"Line(00400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"15", ,"30861"
"Line(00500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"16", ,"2"
"Line(00600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"17", ,"10"
"Line(00700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"20", ,"1003"
"Line(00800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"22", ,"372"
"Line(00900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"23", ,"326"
"Line(01000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"23", ,"1794"
"Line(01100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"23", ,"1082"
"Line(01200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"30", ,"565692"
"Line(01300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"31", ,"204293"
"Line(01400)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"31", ,"170221"
"Line(01500)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"32", ,"110483"
"Line(01600)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"32", ,"67925"
"Line(01700)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"191409"
"Line(01800)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"291225"
"Line(01900)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"61060"
"Line(02000)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"141408"
"Line(02100)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"208"
"Line(02200)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"30960"
"Line(02300)","FILE 300.14 MEDICAL SUPPLY","C", , , , , ,"34", ,"15982"
