"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000E0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000E0)","Entity[572851] Report(A6000E0[00000])","Entity[572851] Report(A6000E0[00100])", ,"Entity[572851] Report(A6000E0[00300])", ,"Entity[572851] Report(A6000E0[00500])", ,"Entity[572851] Report(A6000E0[00700])", ,"Entity[572851] Report(A6000E0[00900])"
"Line(00100)","FILE 300.16 DRUGS CHARGED","E", ,"73", ,"55611258", ,"14", ,"368"
"Line(00200)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"15", ,"44887028"
"Line(00300)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"50", ,"315586"
"Line(00400)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"51", ,"113793"
"Line(00500)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"52", ,"128296"
"Line(00600)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"54", ,"2077026"
"Line(00700)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"56", ,"1840144"
"Line(00800)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"57", ,"323198"
"Line(00900)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"58", ,"227277"
"Line(01000)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"59", ,"321316"
"Line(01100)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"60", ,"30616"
"Line(01200)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"65", ,"1633773"
"Line(01300)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"69", ,"106018"
"Line(01400)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"74", ,"121392"
"Line(01500)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"75", ,"117716"
"Line(01600)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"55", ,"1061637"
"Line(01700)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"76", ,"49684"
"Line(01800)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"87886"
"Line(01900)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"1010"
"Line(02000)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"351799"
"Line(02100)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"505164"
"Line(02200)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"212480"
"Line(02300)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"88202"
"Line(02400)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"5986"
"Line(02500)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"9357"
"Line(02600)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"79"
"Line(02700)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"5491"
"Line(02800)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"9100"
"Line(02900)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"50746"
"Line(03000)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"496550"
"Line(03100)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"594"
"Line(03200)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"170"
"Line(03300)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"26765"
"Line(03400)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"27005"
"Line(03500)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"90", ,"7401"
"Line(03600)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"91", ,"283574"
"Line(03700)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"91", ,"39916"
"Line(03800)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"91", ,"12373"
"Line(03900)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"92", ,"34604"
"Line(04000)","FILE 300.16 DRUGS CHARGED","E", , , , , ,"92", ,"138"
