"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report D00A185 ","-------------","-------------","-----------",""
"applicable","","\"   [ ] Title XVIII"," Part B  \"","","    [ ] IPF","          [ ] SNF","","  [ ] Swing Bed NF","",""
"boxes:","","   [ ] Title XIX - O/P     ","","    [ ] IRF","          [ ] NF","","  [ ] ICF/MR","",""
"PART V - APPORTIONMENT OF MEDICAL AND OTHER HEALTH SERVICES COSTS","","","","","","","","",""
"","","","","Program Charges","","","Program Cost","",""
"","","","Cost to","","Cost Reimbursed","Cost Reimbursed","","Cost","Cost"
"","","","Charge","","Services","Services Not","PPS","Services","Services Not"
"","","","Ratio from","PPS Reimbursed","Subject to","Subject to"," Services","Subject to","Subject to"
"","","","\"Worksheet C","\"","Services","Ded. & Coins.","Ded. & Coins.","(see","Ded. & Coins.","Ded. & Coins."
"","","","\"Part I"," col. 9\"","(see instructions)","(see instructions)","(see instructions)","instructions)","(see instructions)","(see instructions)"
"(A)"," Cost Center Description","","1","2","3","4","5","6","7"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","",""
"Entity[572851] Report(D00A185)", ,"Entity[572851] Report(D00A185[00100])","Entity[572851] Report(D00A185[00200])","Entity[572851] Report(D00A185[00300])","Entity[572851] Report(D00A185[00400])","Entity[572851] Report(D00A185[00500])","Entity[572851] Report(D00A185[00600])","Entity[572851] Report(D00A185[00700])"
"Line(05000)", ,"0","19000472", , ,"2501754"
"Line(05001)", ,"5","48673", , ,"259577"
"Line(05100)", ,"0","5619362", , ,"1393473"
"Line(05200)", ,"0","30857", , ,"11036"
"Line(05300)", ,"0","31528305", , ,"1694300"
"Line(05400)", ,"0","22103990", , ,"3465552"
"Line(05500)", ,"0","18293832", , ,"2629244"
"Line(05600)", ,"0","3657986", , ,"561530"
"Line(05700)", ,"0","29672974", , ,"834137"
"Line(05800)", ,"0","9454816", , ,"661478"
"Line(05900)", ,"0","27209512", , ,"3155297"
"Line(06000)", ,"0","9194027","146275", ,"1337336","21277"
"Line(06001)", ,"0","275946", , ,"86502"
"Line(06002)", ,"0","384880", , ,"66094"
"Line(06500)", ,"0","753328", , ,"246501"
"Line(06600)", ,"0"
"Line(06800)", ,"0"
"Line(06900)", ,"0","10871229", , ,"967268"
"Line(07100)", ,"1","6355236","18251", ,"4888931","14040"
"Line(07200)", ,"0","28373248","156", ,"9116920","50"
"Line(07300)", ,"0","22626878","3509","146769","6232234","967","40425"
"Line(07400)", ,"0","1731461", , ,"507038"
"Line(07500)", ,"0","9176330", , ,"1798946"
"Line(07601)", ,"6","2578", , ,"14357"
"Line(07602)", ,"1","195067", , ,"121540"
"Line(07603)", ,"0","12811409", , ,"3736473"
"Line(07697)", ,"1","376430", , ,"252251"
"Line(09000)", ,"1","375456", , ,"412575"
"Line(09001)", ,"3","850789", , ,"2302063"
"Line(09002)", ,"1","42451", , ,"60749"
"Line(09003)", ,"2","3560098", , ,"8103527"
"Line(09004)", ,"3","1477209", , ,"3899375"
"Line(09005)", ,"1"
"Line(09006)", ,"3"
"Line(09007)", ,"1","252330", , ,"212083"
"Line(09008)", ,"2","672", , ,"1413"
"Line(09009)", ,"1","91145", , ,"57979"
"Line(09010)", ,"1","3639", , ,"3643"
"Line(09011)", ,"4","256439", , ,"943714"
"Line(09012)", ,"1"
"Line(09013)", ,"7","201675", , ,"1371717"
"Line(09014)", ,"1","908902", , ,"749653"
"Line(09015)", ,"0","45554438", , ,"16186858"
"Line(09016)", ,"1","34821", , ,"39834"
"Line(09017)", ,"2","377601", , ,"930626"
"Line(09020)", ,"1","628997", , ,"825264"
"Line(09021)", ,"0","1253529", , ,"362875"
"Line(09022)", ,"0","3640214", , ,"688612"
"Line(09023)", ,"0","322369", , ,"55307"
"Line(09024)", ,"0","1191827", , ,"348317"
"Line(09025)", ,"3","104542", , ,"336641"
"Line(09100)", ,"0","16392000","10226", ,"2952265","1842"
"Line(09101)", ,"1","373822", , ,"337493"
"Line(09102)", ,"0"
"Line(09103)", ,"0","1530810", , ,"187408"
"Line(09200)", ,"1","5100784","895", ,"3175702","557"
"Line(09201)", ,"0","3201322", , ,"1036851"
"Line(09202)", ,"0","404608", , ,"97025"
"Line(09500)", ,"1"
"Line(20000)", , ,"357881315","179312","146769","92219338","38733","40425"
