"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report S200001 ","-------------","-------------","-----------",""
"1"," Street:","P.O. Box:","","","","","","","","1"
"2"," City:","State:","Zip Code:","County:","","","","","","2"
"Hospital and Hospital-Based Component Identification:","","","","","","","","","",""
"","","Component","CCN","CBSA","Provider","Date","","\"Payment System (P"," T"," O"," or N)\"","",""
"","Component","Name","Number","Number","Type","Certified","V","XVIII","XIX",""
"","0","1","2","3","4","5","6","7","8",""
"Entity[572851] Report(S200001)", ,"Entity[572851] Report(S200001[00100])","Entity[572851] Report(S200001[00200])","Entity[572851] Report(S200001[00300])","Entity[572851] Report(S200001[00400])","Entity[572851] Report(S200001[00500])","Entity[572851] Report(S200001[00600])","Entity[572851] Report(S200001[00700])","Entity[572851] Report(S200001[00800])"
"Line(00100)", ,"1000 BLYTHE BLVD","32861"
"Line(00200)", ,"CHARLOTTE","NC","28232-","MECKLENBURG"
"Line(00300)", ,"CAROLINAS MEDICAL CENTER","340113","16740","1","07/01/1966","N","P","O"
"Line(00400)", ,"CENTER FOR MENTAL HEALTH","34S113","16740","4","10/01/1983","N","P","O"
"Line(00500)", ,"LEVINE REHABILITATION","34T113","16740","5","01/01/2009","N","P","O"
"Line(01800)", ,"CAROLINAS ESRD","342306","16740", ,"08/01/1983"
"Line(02000)", ,"01/01/2013","12/31/2013"
"Line(02100)", ,"11"
"Line(02200)", ,"Y","N"
"Line(02201)", ,"Y","Y"
"Line(02202)", ,"N","N"
"Line(02203)", ,"N","N","N"
"Line(02300)", ,"3","N"
"Line(02400)", ,"79353", , , ,"15818"
"Line(02500)", ,"1677"
"Line(02600)", ,"1"
"Line(02700)", ,"1"
"Line(03900)", ,"N","N"
"Line(04000)", ,"N","N"
"Line(04500)", ,"N","Y","N"
"Line(04600)", ,"N","N","N"
"Line(04700)", ,"N","N","N"
"Line(04800)", ,"N","N","N"
"Line(05600)", ,"Y"
"Line(05700)", ,"N"
"Line(05800)", ,"N"
"Line(05900)", ,"N"
"Line(06000)", ,"Y"
"Line(06100)", ,"N"
"Line(06300)", ,"Y"
"Line(06400)", ,"2","134","0"
"Line(06500)", ,"FAMILY MEDICINE","1350","1","19","0"
"Line(06501)", ,"FAMILY MEDICINE SPORTS MEDICINE","1350","0","1","0"
"Line(06502)", ,"FAMILY MEDICINE RURAL PROGRAM","1350", ,"2"
"Line(06503)", ,"OB /GYN","1750", ,"25"
"Line(06504)", ,"PEDIATRICS","2000","4","30","0"
"Line(06600)", ,"4","154","0"
"Line(06700)", ,"FAMILY MEDICINE","1350","0","21","0"
"Line(06701)", ,"FAMILY MEDICINE SPORTS MEDICINE","1350","0","1","0"
"Line(06702)", ,"FAMILY MEDICINE RURAL PROGRAM","1350", ,"3"
"Line(06703)", ,"OB / GYN","1750", ,"23"
"Line(06704)", ,"PEDIATRICS","2000","3","32","0"
"Line(07000)", ,"Y"
"Line(07100)", ,"N","N"
"Line(07500)", ,"Y"
"Line(07600)", ,"N","N"
"Line(08000)", ,"N"
"Line(08100)", ,"N"
"Line(08500)", ,"N"
"Line(08700)", ,"N"
"Line(09000)", ,"N","Y"
"Line(09100)", ,"N","Y"
"Line(09200)", , ,"N"
"Line(09300)", ,"N","N"
"Line(09400)", ,"N","N"
"Line(09600)", ,"N","N"
"Line(10500)", ,"N"
"Line(10600)", ,"N"
"Line(10700)", ,"N"
"Line(10800)", ,"N"
"Line(10900)", ,"N","N","N","N"
"Line(11000)", ,"N"
"Line(11500)", ,"N"
"Line(11600)", ,"N"
"Line(11700)", ,"N"
"Line(11800)", ,"2"
"Line(11801)", ,"2345898","7952173"
"Line(11802)", ,"N"
"Line(12000)", ,"N","N"
"Line(12100)", ,"Y"
"Line(12500)", ,"Y"
"Line(12600)", ,"05/04/1970"
"Line(12700)", ,"02/09/1989"
"Line(12800)", ,"05/19/1998"
"Line(13000)", ,"07/01/1999"
"Line(13400)", ,"34P003"
"Line(14000)", ,"Y","349014"
"Line(14100)", ,"CAROLINAS HEALTHCARE SYSTEM","PALMETTO GBA","11501"
"Line(14200)", ,"1000 BLYTHE BLVD","BOX 32861"
"Line(14300)", ,"CHARLOTTE","NC","28232"
"Line(14400)", ,"Y"
"Line(14500)", ,"N"
"Line(14600)", ,"N"
"Line(14700)", ,"N"
"Line(14800)", ,"N"
"Line(14900)", ,"N"
"Line(15500)", ,"N","N","N","N"
"Line(15600)", ,"N","N","N","N"
"Line(15700)", ,"N","N","N","N"
"Line(15900)", ,"N","N","N","N"
"Line(16000)", ,"N","N","N","N"
"Line(16001)", ,"N","N","N","N"
"Line(16100)", , ,"N","N","N"
"Line(16110)", , ,"N","N","N"
"Line(16500)", ,"N"
"Line(16700)", ,"Y"
"Line(16900)", ,"1"
"Line(17000)", ,"10/01/2012","09/30/2013"
