"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572851"," Report A6000N0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[572851] Report(A6000N0)","Entity[572851] Report(A6000N0[00000])","Entity[572851] Report(A6000N0[00100])", ,"Entity[572851] Report(A6000N0[00300])","Entity[572851] Report(A6000N0[00400])", , ,"Entity[572851] Report(A6000N0[00700])","Entity[572851] Report(A6000N0[00800])"
"Line(00100)","FILE 603 PROVIDER BASED PHYSICIANS","N", ,"22","14963834", , ,"5","120"
"Line(00200)","FILE 603 PROVIDER BASED PHYSICIANS","N", ,"194","2088953", , ,"90","61895"
"Line(00300)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","12508"
"Line(00400)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","335497"
"Line(00500)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","235158"
"Line(00600)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","10500"
"Line(00700)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","395854"
"Line(00800)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","149263"
"Line(00900)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"91","2524519"
"Line(01000)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","897249"
"Line(01100)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","1671278"
"Line(01200)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"31","559034"
"Line(01300)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","107448"
"Line(01400)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","723089"
"Line(01500)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","375923"
"Line(01600)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"91","1962"
"Line(01700)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","908270"
"Line(01800)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","214280"
"Line(01900)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","87784"
"Line(02000)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","251355"
"Line(02100)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"31","326114"
"Line(02200)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"31","35178"
"Line(02300)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","207071"
"Line(02400)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","271716"
"Line(02500)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","289331"
"Line(02600)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","73394"
"Line(02700)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","148"
"Line(02800)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","6223"
"Line(02900)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","435872"
"Line(03000)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","424974"
"Line(03100)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"50","4643"
"Line(03200)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","76167"
"Line(03300)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"30","211977"
"Line(03400)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"34","347279"
"Line(03500)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","164671"
"Line(03600)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","103764"
"Line(03700)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","105607"
"Line(03800)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","1741815"
"Line(03900)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","85611"
"Line(04000)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","276855"
"Line(04100)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","252438"
"Line(04200)","FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"22","2088953"
