"----------"," Entity 572851"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"COST CENTER DESCRIPTIONS","","","TOTAL","RECLASSIFI-","TRIAL BALANCE","","FOR ALLOCATION", , , , , , , , , , , , 
"(omit cents)","SALARIES","OTHER","(col. 1 + col. 2)","CATIONS","(col. 3 ± col. 4)","ADJUSTMENTS","(col. 5 ± col. 6)", , , , , , , , , , , , 
"","1","2","3","4","5","6","7", , , , , , , , , , , , 
"Entity[572851] Report(A000000[00000])","Entity[572851] Report(A000000[00100])","Entity[572851] Report(A000000[00200])","Entity[572851] Report(A000000[00300])","Entity[572851] Report(A000000[00400])","Entity[572851] Report(A000000[00500])","Entity[572851] Report(A000000[00600])","Entity[572851] Report(A000000[00700])", , , , , , , , , , , , 
"00100CAP REL COSTS-BLDG & FIXT", , , ,"27260985","27260985","463146","27724131", , , , , , , , , , , , 
"00200CAP REL COSTS-MVBLE EQUIP", , , ,"42668366","42668366","492729","43161095", , , , , , , , , , , , 
"00300OTHER CAP REL COSTS", , , , , , , , , , , , , , , , , , , 
"00400EMPLOYEE BENEFITS DEPARTMENT","5569913","128016862","133586775","41674042","175260817","-6188375","169072442", , , , , , , , , , , , 
"00500ADMINISTRATIVE & GENERAL","18029589","314962401","332991990","-103600474","229391516","-26920496","202471020", , , , , , , , , , , , 
"00700OPERATION OF PLANT","6305827","15040415","21346242","4198620","25544862","-452328","25092534", , , , , , , , , , , , 
"00800LAUNDRY & LINEN SERVICE","276437","4116163","4392600","3572","4396172","385516","4781688", , , , , , , , , , , , 
"00900HOUSEKEEPING","5785533","5203002","10988535","52546","11041081","12294","11053375", , , , , , , , , , , , 
"01000DIETARY","1178108","20412425","21590533","10437","21600970","-7357656","14243314", , , , , , , , , , , , 
"01100CAFETERIA", , , , , , , , , , , , , , , , , , , 
"01300NURSING ADMINISTRATION","6798451","847388","7645839","9354627","17000466","-924269","16076197", , , , , , , , , , , , 
"01400CENTRAL SERVICES & SUPPLY","1861438","4856332","6717770","3987640","10705410","-39261","10666149", , , , , , , , , , , , 
"01500PHARMACY","17025406","55659353","72684759","-49204625","23480134","-2910407","20569727", , , , , , , , , , , , 
"01600MEDICAL RECORDS & LIBRARY","5317330","2968613","8285943","48353","8334296","-28516","8305780", , , , , , , , , , , , 
"01700SOCIAL SERVICE","8673401","599044","9272445","50841","9323286","-607339","8715947", , , , , , , , , , , , 
"01850VOLUNTEERS","184001","144271","328272","1673","329945","-111665","218280", , , , , , , , , , , , 
"01900NONPHYSICIAN ANESTHETISTS", , , , , , , , , , , , , , , , , , , 
"02000NURSING SCHOOL","3287176","1360655","4647831","617308","5265139","-2522845","2742294", , , , , , , , , , , , 
"02100I&R SERVICES-SALARY & FRINGES A", , , ,"13680980","13680980", ,"13680980", , , , , , , , , , , , 
"02200I&R SERVICES-OTHER PRGM COSTS A","27837147","15026502","42863649","-11653406","31210243","-10135331","21074912", , , , , , , , , , , , 
"02300PARAMED ED PRGM-(SPECIFY)","401706","17742","419448","95214","514662","-256","514406", , , , , , , , , , , , 
"02301PARAMED X-RAY","449893","17525","467418","109317","576735","148408","725143", , , , , , , , , , , , 
"02302PARAMED CRNA","669276","754398","1423674","904234","2327908","-1032075","1295833", , , , , , , , , , , , 
"02303PASTORAL CARE","905959","235177","1141136","-687171","453965","-67562","386403", , , , , , , , , , , , 
"02304PARAMED SURGICAL CARE","125414","6490","131904","84705","216609","3622","220231", , , , , , , , , , , , 
"02305PARAMED PHARMACY","427845","23150","450995","53976","504971","-324","504647", , , , , , , , , , , , 
"03000ADULTS & PEDIATRICS","69525845","7989637","77515482","-3388061","74127421","-3570976","70556445", , , , , , , , , , , , 
"03100INTENSIVE CARE UNIT","11587490","7393044","18980534","-1412396","17568138","-11698275","5869863", , , , , , , , , , , , 
"03101NEONATAL INTENSIVE CARE UNIT","15799550","3467881","19267431","-1099199","18168232","-8556423","9611809", , , , , , , , , , , , 
"03200CORONARY CARE UNIT","3713556","599317","4312873","-109612","4203261","1303","4204564", , , , , , , , , , , , 
"03201CVRU","2242594","334822","2577416","-57967","2519449","-1854","2517595", , , , , , , , , , , , 
"03300BURN INTENSIVE CARE UNIT", , , , , , , , , , , , , , , , , , , 
"03400SURGICAL INTENSIVE CARE UNIT", , , , , , , , , , , , , , , , , , , 
"03401NEURO INTENSIVE CARE UNIT","8505349","1220418","9725767","-152051","9573716","12890","9586606", , , , , , , , , , , , 
"03402TRAUMA INTENSIVE CARE UNIT","6256872","1318806","7575678","-303306","7272372","24","7272396", , , , , , , , , , , , 
"03403PROGRESSIVE INTENSIVE CARE UNIT","3815299","656110","4471409","-61158","4410251","359","4410610", , , , , , , , , , , , 
"03404PEDIATRIC INTENSIVE CARE UNIT","6912230","1730091","8642321","-645754","7996567","-3715928","4280639", , , , , , , , , , , , 
"03405EPILEPSY INTENSIVE CARE UNIT","392268","17045","409313","2930","412243","104","412347", , , , , , , , , , , , 
"03406PEDS PROGRESSIVE INTENSIVE CARE","3039424","467042","3506466","-13608","3492858","3112","3495970", , , , , , , , , , , , 
"03407NEONATAL PROGRESSIVE ICU","4027405","368319","4395724","-10305","4385419","603","4386022", , , , , , , , , , , , 
"04000SUBPROVIDER - IPF","8901927","342573","9244500","446583","9691083","-95825","9595258", , , , , , , , , , , , 
"04100SUBPROVIDER - IRF","1373463","153622","1527085","-18368","1508717","-84204","1424513", , , , , , , , , , , , 
"04200SUBPROVIDER", , , , , , , , , , , , , , , , , , , 
"04300NURSERY", , , ,"3250430","3250430", ,"3250430", , , , , , , , , , , , 
"05000OPERATING ROOM","19194454","90628116","109822570","-79249394","30573176","-6578249","23994927", , , , , , , , , , , , 
"05001BONE MARROW TRANSPLANT","1791702","668962","2460664","-123232","2337432","-671535","1665897", , , , , , , , , , , , 
"05100RECOVERY ROOM","7028660","663589","7692249","-98904","7593345","13069","7606414", , , , , , , , , , , , 
"05200DELIVERY ROOM & LABOR ROOM","8877429","1851118","10728547","-760869","9967678","-384141","9583537", , , , , , , , , , , , 
"05300ANESTHESIOLOGY","27162789","6372493","33535282","-1288205","32247077","-24118321","8128756", , , , , , , , , , , , 
"05400RADIOLOGY-DIAGNOSTIC","12444965","11853482","24298447","-7818197","16480250","-3953930","12526320", , , , , , , , , , , , 
"05500RADIOLOGY-THERAPEUTIC","1432165","4580976","6013141","-1130303","4882838","-108193","4774645", , , , , , , , , , , , 
"05600RADIOISOTOPE","839664","2075930","2915594","-1836390","1079204","-19553","1059651", , , , , , , , , , , , 
"05700CT SCAN","1882186","1398976","3281162","333223","3614385","-605472","3008913", , , , , , , , , , , , 
"05800MRI","1405047","1043985","2449032","360374","2809406","-949","2808457", , , , , , , , , , , , 
"05900CARDIAC CATHETERIZATION","4972716","22400454","27373170","-18345755","9027415","-637","9026778", , , , , , , , , , , , 
"06000LABORATORY","16732351","52255516","68987867","6318444","75306311","-10714244","64592067", , , , , , , , , , , , 
"06001CYTOLOGY","774395","800845","1575240","7042","1582282","-174503","1407779", , , , , , , , , , , , 
"06002LAB - TISSUE TYPING","429800","1245351","1675151","2219","1677370","-507323","1170047", , , , , , , , , , , , 
"06500RESPIRATORY THERAPY","10998324","3960206","14958530","-1906830","13051700","-9024","13042676", , , , , , , , , , , , 
"06600PHYSICAL THERAPY","5680870","76083","5756953","42876","5799829","-157","5799672", , , , , , , , , , , , 
"06800SPEECH PATHOLOGY", ,"1265404","1265404", ,"1265404", ,"1265404", , , , , , , , , , , , 
"06900ELECTROCARDIOLOGY","2313026","767707","3080733","-107913","2972820","-262239","2710581", , , , , , , , , , , , 
"07000ELECTROENCEPHALOGRAPHY", , , , , , , , , , , , , , , , , , , 
"07100MEDICAL SUPPLIES CHARGED TO PAT","730989","3005318","3736307","46004609","49740916","1672","49742588", , , , , , , , , , , , 
"07200IMPL. DEV. CHARGED TO PATIENTS", , , ,"73233256","73233256", ,"73233256", , , , , , , , , , , , 
"07300DRUGS CHARGED TO PATIENTS", , , ,"55611258","55611258","-935943","54675315", , , , , , , , , , , , 
"07400RENAL DIALYSIS","2130304","1383546","3513850","-951321","2562529","-328098","2234431", , , , , , , , , , , , 
"07500ASC (NON-DISTINCT PART)","7341706","11314926","18656632","-7443073","11213559","-155131","11058428", , , , , , , , , , , , 
"03020OB ULTRASOUND", , , , , , , , , , , , , , , , , , , 
"03021ORTHOPAEDIC SERVICES","300156","906651","1206807","-775592","431215","76","431291", , , , , , , , , , , , 
"03022PURCHASED SERVICES","103528","2880877","2984405","941","2985346", ,"2985346", , , , , , , , , , , , 
"03023ENDOSCOPY","5938904","4661213","10600117","-1554443","9045674","-28403","9017271", , , , , , , , , , , , 
"07697CARDIAC REHABILITATION","514161","279753","793914","-5591","788323","-180022","608301", , , , , , , , , , , , 
"08800RURAL HEALTH CLINIC", , , , , , , , , , , , , , , , , , , 
"08900FEDERALLY QUALIFIED HEALTH CENT", , , , , , , , , , , , , , , , , , , 
"09000CLINIC","2627264","1259350","3886614","-345288","3541326","-1950051","1591275", , , , , , , , , , , , 
"09001MENTAL HEALTH O/P CLINIC","8359417","2417722","10777139","-1144721","9632418","-7704501","1927917", , , , , , , , , , , , 
"09002CLINIC - CHILD OP RESP CTR","6983038","4410237","11393275","-927726","10465549","-6178280","4287269", , , , , , , , , , , , 
"09003CLINIC - ONCOLOGY","15289850","8860719","24150569","-1215865","22934704","-7367048","15567656", , , , , , , , , , , , 
"09004CLINIC - MYERS PARK","40433754","20707324","61141078","-11260134","49880944","-33801622","16079322", , , , , , , , , , , , 
"09005CLINIC - DENTISTRY","1092498","1135848","2228346","-248140","1980206","-766555","1213651", , , , , , , , , , , , 
"09006CLINIC - PED RESP CTR","71499","82250","153749","650","154399","-11113","143286", , , , , , , , , , , , 
"09007CLINIC - NORTHPARK","4350352","1751103","6101455","-428070","5673385","-3209037","2464348", , , , , , , , , , , , 
"09008TEEN HEALTH CONNECTION","1212624","679208","1891832","-204436","1687396","-709127","978269", , , , , , , , , , , , 
"09009WOMENS INSTITUTE","6102686","2397157","8499843","-847744","7652099","-5168796","2483303", , , , , , , , , , , , 
"09010DIABETES CENTER","443294","193173","636467","-34422","602045","-118586","483459", , , , , , , , , , , , 
"09011POST TRANSPLANT CLINIC","1619502","1469130","3088632","61234","3149866","-1885991","1263875", , , , , , , , , , , , 
"09012PEDIATRIC AFTER HOURS CLINIC","109584","13422","123006","112","123118","-78121","44997", , , , , , , , , , , , 
"09013CMC SURGERY","10411096","3307198","13718294","-1845184","11873110","-11338053","535057", , , , , , , , , , , , 
"09014CMC ORTHOPEDICS","3521999","1079407","4601406","-827312","3774094","-2691762","1082332", , , , , , , , , , , , 
"09015INFUSION CENTER","3634947","31808814","35443761","-296992","35146769","-21710","35125059", , , , , , , , , , , , 
"09016PEDIATRIC ONCOLOGY","3970565","1877741","5848306","-556924","5291382","-3221375","2070007", , , , , , , , , , , , 
"09017NEUROMUSCULAR (ALS) CENTER","1710986","863699","2574685","-485124","2089561","12980","2102541", , , , , , , , , , , , 
"09020CHF CLINIC","1152885","1570189","2723074","-5604","2717470","-1780196","937274", , , , , , , , , , , , 
"09021NEUROSCIENCE CLINIC","5511088","2747174","8258262","-638407","7619855","-6279792","1340063", , , , , , , , , , , , 
"09022PAIN MANAGEMENT","739263","2641796","3381059","-1614191","1766868","-42392","1724476", , , , , , , , , , , , 
"09023SLEEP LAB","64296","76833","141129","526","141655","-9576","132079", , , , , , , , , , , , 
"09024WOUND CARE","118254","494418","612672","-77883","534789","-8135","526654", , , , , , , , , , , , 
"09025LIVER CLINIC","512833","370592","883425","-5490","877935","-36894","841041", , , , , , , , , , , , 
"09100EMERGENCY","20502436","13004893","33507329","-4405613","29101716","-14728368","14373348", , , , , , , , , , , , 
"09101EMERGENCY-SUBPROVIDER","7145926","1708666","8854592","-918434","7936158","-6312675","1623483", , , , , , , , , , , , 
"09102EMERGENCY-PEDIATRIC","2970846","754049","3724895","-61747","3663148","1668","3664816", , , , , , , , , , , , 
"09103EMERGENCY-MERCY","614971","182249","797220","-25740","771480","4827","776307", , , , , , , , , , , , 
"09200OBSERVATION BEDS (NON-DISTINCT", , , , , , , , , , , , , , , , , , , 
"09201OBSERVATION BEDS (DISTINCT PART","2920357","312550","3232907","-50749","3182158","9727", , , , , , , , , , , , , 
"09202OBSERVATION BEDS (PSYCH)","1363396","38248","1401644","10177","1411821","1790", , , , , , , , , , , , , 
"09500AMBULANCE SERVICES","9572648","14820647","24393295","814","24394109","-1045885","23348224", , , , , , , , , , , , 
"09910CORF", , , , , , , , , , , , , , , , , , , 
"10100HOME HEALTH AGENCY", , , , , , , , , , , , , , , , , , , 
"10101HOME HEALTH AGENCY 2", , , , , , , , , , , , , , , , , , , 
"10500KIDNEY ACQUISITION","4900435","11149579","16050014","-3801023","12248991","-5482585","6766406", , , , , , , , , , , , 
"10600HEART ACQUISITION","613234","1030660","1643894","685984","2329878","-649706","1680172", , , , , , , , , , , , 
"10700LIVER ACQUISITION","1081619","2517182","3598801","2047287","5646088","-1674272","3971816", , , , , , , , , , , , 
"10900PANCREAS ACQUISITION", , , ,"279958","279958", ,"279958", , , , , , , , , , , , 
"11000INTESTINAL ACQUISITION", , , , , , , , , , , , , , , , , , , 
"11100ISLET ACQUISITION", , , , , , , , , , , , , , , , , , , 
"08600OTHER ORGAN ACQUISITION (SPECIF", , , ,"675137","675137", ,"675137", , , , , , , , , , , , 
"11300INTEREST EXPENSE", , , , , , , , , , , , , , , , , , , 
 ,"569952855","962401339","1532354194","6147064","1538501258","-259460542","1279040716", , , , , , , , , , , , 
"19000GIFT  FLOWER  COFFEE SHOP & CAN","12716","119869","132585","116","132701","-76493","56208", , , , , , , , , , , , 
"19001COFFEE SHOP", , , , , , , , , , , , , , , , , , , 
"19100RESEARCH","24972853","20561244","45534097","-2161426","43372671","-5695404","37677267", , , , , , , , , , , , 
"19200PHYSICIANS PRIVATE OFFICES","12738171","9779219","22517390","-2913777","19603613","-13903710","5699903", , , , , , , , , , , , 
"19201WOMENS INST BALLANTYNE","65580","91243","156823","-25782","131041","-6323","124718", , , , , , , , , , , , 
"19300NONPAID WORKERS", , , , , , , , , , , , , , , , , , , 
"07950OTHER NONREIMBURSABLE COST CENT", , , , , , , , , , , , , , , , , , , 
"07951CAROLINAS REHABILITATION","985161","340477","1325638","-1217278","108360","-15528","92832", , , , , , , , , , , , 
"07952UNIVERSITY HOSPITAL","1651964","742191","2394155","-276200","2117955","-772798","1345157", , , , , , , , , , , , 
"07959OTHER NONREIMBURSABLE COST CENT","3351009","615587","3966596","15258","3981854","-190285","3791569", , , , , , , , , , , , 
"07954MERCY HOSPITAL SOUTH","461564","155518","617082","-54368","562714","-28743","533971", , , , , , , , , , , , 
