"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report S300004 ","-------------","-------------","-----------",""
"","----","NO HEADER "," -------- ","NO HEADER"," ------- ","","","","","",""
"Entity[553807] Report(S300004)","Entity[553807] Report(S300004[00000])","Entity[553807] Report(S300004[00100])"
"Line(00300)", ,"36362120"
"Line(00800)", ,"58101581"
"Line(01000)", ,"3421372"
"Line(01100)", ,"376953"
"Line(01300)", ,"1772891"
"Line(01500)", ,"5761686"
"Line(01600)", ,"2793161"
"Line(01700)", ,"36915525"
"Line(01900)", ,"1032931"
"Line(02200)", ,"31164"
"Line(02300)", ,"12810834"
"Line(02400)", ,"159380218"
