"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00A184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[553807] Report(D00A184)", , , ,"Entity[553807] Report(D00A184[00300])", ,"Entity[553807] Report(D00A184[00500])","Entity[553807] Report(D00A184[00600])","Entity[553807] Report(D00A184[00700])","Entity[553807] Report(D00A184[00800])","Entity[553807] Report(D00A184[00900])","Entity[553807] Report(D00A184[01000])","Entity[553807] Report(D00A184[01100])","Entity[553807] Report(D00A184[01200])","Entity[553807] Report(D00A184[01300])"
"Line(05000)", , , ,"1041", ,"1041","1041","170092053","0","0","18938644","114","6041096","36"
"Line(05100)", , , , , , , ,"6055560", , ,"594425", ,"265740"
"Line(05200)", , , ,"3853", ,"3853","3853","19920508","0","0","151021","29","66291","13"
"Line(05300)", , , , , , , ,"4083751", , ,"293504", ,"257113"
"Line(05400)", , , ,"52", ,"52","52","86311526","0","0","8104087","8","5495676","5"
"Line(05500)", , , , , , , ,"60758069", , ,"634851", ,"9526708"
"Line(05700)", , , , , , , ,"81901721", , ,"7451612", ,"6238595"
"Line(05800)", , , , , , , ,"36936667", , ,"2315346", ,"2821332"
"Line(06000)", , , , , , , ,"257704037", , ,"13459042", ,"2132032"
"Line(06300)", , , , , , , ,"32396804", , ,"3874160", ,"517278"
"Line(06500)", , , , , , , ,"47573730", , ,"6757659", ,"53248"
"Line(06600)", , , , , , , ,"14165880", , ,"1614913"
"Line(06700)", , , , , , , ,"5777169", , ,"260649", ,"328858"
"Line(06900)", , , , , , , ,"8887974", , ,"831092", ,"888018"
"Line(07000)", , , , , , , ,"6782443", , ,"418029", ,"483818"
"Line(07200)", , , , , , , ,"79943757", , ,"9293568", ,"5937141"
"Line(07300)", , , ,"383050", ,"383050","383050","264013910","0","0","13592233","19722","20526042","29783"
"Line(07400)", , , , , , , ,"15829842", , ,"6772558", ,"470157"
"Line(07500)", , , , , , , ,"85121101", , ,"852167", ,"5477764"
"Line(07601)", , , , , , , ,"10757264", , ,"640275", ,"252518"
"Line(07603)", , , ,"677", ,"677","677","88344582","0","0","7228921","58","9832344","79"
"Line(07605)", , , , , , , ,"16791558", , ,"1052119", ,"723007"
"Line(07606)", , , ,"12873", ,"12873","12873","36847275","0","0","219981","77","4676154","1632"
"Line(07608)", , , , , , , ,"8765668", , ,"289650", ,"793816"
"Line(07614)", , , , , , , ,"34175844", , ,"2583525", ,"2973497"
"Line(07618)", , , , , , , ,"22122065", , ,"1160922", ,"3267339"
"Line(07631)", , , , , , , ,"2279419", , ,"245163", ,"28074"
"Line(07650)", , , , , , , ,"6106991", , ,"96355", ,"24979"
"Line(07651)", , , , , , , ,"4818685", , ,"17529", ,"14927"
"Line(07654)", , , , , , , ,"491990", , ,"535", ,"184634"
"Line(07655)", , , , , , , ,"4652625", , ,"702376"
"Line(07656)", , , , , , , ,"3307494", , , , ,"417953"
"Line(07658)", , , , , , , ,"2485959", , , , ,"252849"
"Line(07659)", , , , , , , ,"6684995", , , , ,"845516"
"Line(07698)", , , , , , , ,"4823263", , ,"11982", ,"1710937"
"Line(07699)", , , , , , , ,"5319307", , ,"67801", ,"434337"
"Line(09000)", , , , , , , ,"166608076", , ,"282788", ,"21165914"
"Line(09001)", , , , , , , ,"2418053", , , , ,"14165"
"Line(09020)", , , , , , , ,"17318023", , ,"2851", ,"4058780"
"Line(09025)", , , , , , , ,"6302717", , , , ,"645"
"Line(09026)", , , , , , , ,"26500"
"Line(09028)", , , , , , , ,"1798713", , ,"7034", ,"153597"
"Line(09029)", , , , , , , ,"1144001", , ,"1268"
"Line(09040)", , , , , , , ,"8395709", , ,"2292", ,"393741"
"Line(09100)", , , ,"100580", ,"100580","100580","146315869","0","0","7306694","5020","10903352","7491"
"Line(09101)", , , , , , , ,"13624822", , ,"470471", ,"1141385"
"Line(09202)", , , , , , , ,"191191", , , , ,"25855"
