"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report A6000O0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[553807] Report(A6000O0)","Entity[553807] Report(A6000O0[00000])","Entity[553807] Report(A6000O0[00100])", ,"Entity[553807] Report(A6000O0[00300])","Entity[553807] Report(A6000O0[00400])", , ,"Entity[553807] Report(A6000O0[00700])","Entity[553807] Report(A6000O0[00800])"
"Line(00100)","PHYSICIAN TEACHING COST","O", ,"22","24246000", , ,"16","212953"
"Line(00200)","PHYSICIAN TEACHING COST","O", , , , , ,"21","447061"
"Line(00300)","PHYSICIAN TEACHING COST","O", , , , , ,"18","18229"
"Line(00400)","PHYSICIAN TEACHING COST","O", , , , , ,"5","2411779"
"Line(00500)","PHYSICIAN TEACHING COST","O", , , , , ,"50","1784264"
"Line(00600)","PHYSICIAN TEACHING COST","O", , , , , ,"53","693168"
"Line(00700)","PHYSICIAN TEACHING COST","O", , , , , ,"54","3093702"
"Line(00800)","PHYSICIAN TEACHING COST","O", , , , , ,"55","481625"
"Line(00900)","PHYSICIAN TEACHING COST","O", , , , , ,"60","1122000"
"Line(01000)","PHYSICIAN TEACHING COST","O", , , , , ,"69","3383"
"Line(01100)","PHYSICIAN TEACHING COST","O", , , , , ,"70","118341"
"Line(01200)","PHYSICIAN TEACHING COST","O", , , , , ,"66","1889"
"Line(01300)","PHYSICIAN TEACHING COST","O", , , , , ,"67","140821"
"Line(01400)","PHYSICIAN TEACHING COST","O", , , , , ,"76","4"
"Line(01500)","PHYSICIAN TEACHING COST","O", , , , , ,"65","122517"
"Line(01600)","PHYSICIAN TEACHING COST","O", , , , , ,"76","1015538"
"Line(01700)","PHYSICIAN TEACHING COST","O", , , , , ,"76","291961"
"Line(01800)","PHYSICIAN TEACHING COST","O", , , , , ,"77","74371"
"Line(01900)","PHYSICIAN TEACHING COST","O", , , , , ,"76","114043"
"Line(02000)","PHYSICIAN TEACHING COST","O", , , , , ,"76","357175"
"Line(02100)","PHYSICIAN TEACHING COST","O", , , , , ,"77","168121"
"Line(02200)","PHYSICIAN TEACHING COST","O", , , , , ,"76","430550"
"Line(02300)","PHYSICIAN TEACHING COST","O", , , , , ,"77","87601"
"Line(02400)","PHYSICIAN TEACHING COST","O", , , , , ,"76","176504"
"Line(02500)","PHYSICIAN TEACHING COST","O", , , , , ,"77","189616"
"Line(02600)","PHYSICIAN TEACHING COST","O", , , , , ,"30","508006"
"Line(02700)","PHYSICIAN TEACHING COST","O", , , , , ,"31","538052"
"Line(02800)","PHYSICIAN TEACHING COST","O", , , , , ,"30","13058"
"Line(02900)","PHYSICIAN TEACHING COST","O", , , , , ,"40","212013"
"Line(03000)","PHYSICIAN TEACHING COST","O", , , , , ,"35","318030"
"Line(03100)","PHYSICIAN TEACHING COST","O", , , , , ,"90","7084105"
"Line(03200)","PHYSICIAN TEACHING COST","O", , , , , ,"91","836758"
"Line(03300)","PHYSICIAN TEACHING COST","O", , , , , ,"75","149155"
"Line(03400)","PHYSICIAN TEACHING COST","O", , , , , ,"105","205636"
"Line(03500)","PHYSICIAN TEACHING COST","O", , , , , ,"90","95805"
"Line(03600)","PHYSICIAN TEACHING COST","O", , , , , ,"90","18676"
"Line(03700)","PHYSICIAN TEACHING COST","O", , , , , ,"90","5027"
"Line(03800)","PHYSICIAN TEACHING COST","O", , , , , ,"107","37001"
"Line(03900)","PHYSICIAN TEACHING COST","O", , , , , ,"91","114868"
"Line(04000)","PHYSICIAN TEACHING COST","O", , , , , ,"90","70408"
"Line(04100)","PHYSICIAN TEACHING COST","O", , , , , ,"90","5937"
"Line(04200)","PHYSICIAN TEACHING COST","O", , , , , ,"106","73890"
"Line(04300)","PHYSICIAN TEACHING COST","O", , , , , ,"31","375533"
"Line(04400)","PHYSICIAN TEACHING COST","O", , , , , ,"90","9611"
"Line(04500)","PHYSICIAN TEACHING COST","O", , , , , ,"90","2847"
"Line(04600)","PHYSICIAN TEACHING COST","O", , , , , ,"194","14368"
