"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report D00B184 ","-------------","-------------","-----------",""
"","applicable","","\"   [ ] Title XVIII"," Part A\"","","","   [ ] IPF","           [ ] SNF","","","   [ ] TEFRA"
"","boxes:","","   [ ] Title XIX","","","   [ ] IRF","           [ ] NF","","",""
"","","","","","","","","","",""
"","","","","","","","","All","","Total"
"","","","","","Non","","","Other ","","Outpatient"
"","","","","","Physician","","","Medical","Total cost","Cost"
"","","","","","Anesthetist","Nursing","Allied","Education","(sum of col 1","\"(sum of col. 2","\""
"","","","","","Cost","School","Health","Cost","through col. 4)","3 and 4)"
"","Cost Center Description","","","","1","2","3","4","5","6"
"","ANCILLARY SERVICE COST CENTERS","","","","","","","","",""
"Entity[553807] Report(D00B184)", , , ,"Entity[553807] Report(D00B184[00300])", ,"Entity[553807] Report(D00B184[00500])","Entity[553807] Report(D00B184[00600])","Entity[553807] Report(D00B184[00700])","Entity[553807] Report(D00B184[00800])","Entity[553807] Report(D00B184[00900])","Entity[553807] Report(D00B184[01000])","Entity[553807] Report(D00B184[01100])","Entity[553807] Report(D00B184[01200])"
"Line(05000)", , , ,"1041", ,"1041","1041","170092053","0","0","42490"
"Line(05100)", , , , , , , ,"6055560", , ,"202"
"Line(05200)", , , ,"3853", ,"3853","3853","19920508","0","0","31"
"Line(05300)", , , , , , , ,"4083751", , ,"10362"
"Line(05400)", , , ,"52", ,"52","52","86311526","0","0","32660"
"Line(05500)", , , , , , , ,"60758069"
"Line(05700)", , , , , , , ,"81901721", , ,"40538"
"Line(05800)", , , , , , , ,"36936667", , ,"12517"
"Line(06000)", , , , , , , ,"257704037", , ,"147877"
"Line(06300)", , , , , , , ,"32396804", , ,"17453"
"Line(06500)", , , , , , , ,"47573730", , ,"21525"
"Line(06600)", , , , , , , ,"14165880", , ,"9544"
"Line(06700)", , , , , , , ,"5777169", , ,"3810"
"Line(06900)", , , , , , , ,"8887974", , ,"10118", ,"362"
"Line(07000)", , , , , , , ,"6782443", , ,"1218"
"Line(07200)", , , , , , , ,"79943757"
"Line(07300)", , , ,"383050", ,"383050","383050","264013910","0","0","370683","538"
"Line(07400)", , , , , , , ,"15829842", , ,"11618"
"Line(07500)", , , , , , , ,"85121101", , ,"286"
"Line(07601)", , , , , , , ,"10757264", , ,"1621"
"Line(07603)", , , ,"677", ,"677","677","88344582","0","0","5066"
"Line(07605)", , , , , , , ,"16791558", , ,"2799"
"Line(07606)", , , ,"12873", ,"12873","12873","36847275","0","0","99"
"Line(07608)", , , , , , , ,"8765668", , ,"2076"
"Line(07614)", , , , , , , ,"34175844", , ,"4709"
"Line(07618)", , , , , , , ,"22122065", , ,"134"
"Line(07631)", , , , , , , ,"2279419", , ,"129"
"Line(07650)", , , , , , , ,"6106991", , ,"249"
"Line(07651)", , , , , , , ,"4818685", , ,"246"
"Line(07654)", , , , , , , ,"491990", , ,"66340"
"Line(07655)", , , , , , , ,"4652625", , ,"2417"
"Line(07656)", , , , , , , ,"3307494"
"Line(07658)", , , , , , , ,"2485959"
"Line(07659)", , , , , , , ,"6684995"
"Line(07698)", , , , , , , ,"4823263", , ,"70"
"Line(07699)", , , , , , , ,"5319307", , ,"18"
"Line(09000)", , , , , , , ,"166608076", , ,"1825", ,"13"
"Line(09001)", , , , , , , ,"2418053"
"Line(09020)", , , , , , , ,"17318023", , ,"3898"
"Line(09025)", , , , , , , ,"6302717"
"Line(09026)", , , , , , , ,"26500"
"Line(09028)", , , , , , , ,"1798713", , ,"2708"
"Line(09029)", , , , , , , ,"1144001", , ,"637"
"Line(09040)", , , , , , , ,"8395709", , ,"794"
"Line(09100)", , , ,"100580", ,"100580","100580","146315869","0","0","654188","449"
"Line(09101)", , , , , , , ,"13624822", , ,"42636"
"Line(09202)", , , , , , , ,"191191"
