"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report A820010 ","-------------","-------------","-----------",""
"","","","","","","",""," FROM ____________","","",""
"","","","","",""," ________________",""," TO _______________","","",""
"","","","Cost Center/","","","","","Physician/","","5 Percent of",""
"","","Wkst. A","Physician","Total","Professional","Provider","RCE","Provider","Unadjusted","Unadjusted",""
"","","Line #","Identifier","Remuneration","Component","Component","Amount","Component Hours","RCE Limit","RCE Limit",""
"","","1","2","3","4","5","6","7","8","9",""
"Entity[553807] Report(A820010)", ,"Entity[553807] Report(A820010[00100])","Entity[553807] Report(A820010[00200])","Entity[553807] Report(A820010[00300])","Entity[553807] Report(A820010[00400])","Entity[553807] Report(A820010[00500])","Entity[553807] Report(A820010[00600])","Entity[553807] Report(A820010[00700])","Entity[553807] Report(A820010[00800])","Entity[553807] Report(A820010[00900])", , , , ,"Entity[553807] Report(A820010[01400])","Entity[553807] Report(A820010[01500])","Entity[553807] Report(A820010[01600])","Entity[553807] Report(A820010[01700])","Entity[553807] Report(A820010[01800])"
"Line(00100)", ,"4","EMPLOYEE BENEFITS DEPARTMENT","217173","216287","886","177200","9","767","38", , , , ,"4364","18","785","101","216388"
"Line(00200)", ,"16","MEDICAL RECORDS & LIBRARY","35026", ,"35026","177200","126","10734","537", , , , , , ,"10734","24292","24292"
"Line(00300)", ,"21","I&R SERVICES-SALARY & FRINGES APPRV","1087103","75103","1012000","177200","6776","577263","28863", , , , ,"2029","1889","579152","432848","507951"
"Line(00400)", ,"18","NURSING ADMINISTRATION","21300","2540","18760","177200","157","13375","669", , , , ,"1443","1271","14646","4114","6654"
"Line(00500)", ,"5","OTHER ADMIN AND GENERAL","6253773","2241411","4012362","177200","21157","1802414","90121", , , , ,"199721","128139","1930553","2081809","4323220"
"Line(00600)", ,"50","OPERATING ROOM","2603820","1754331","849489","208000","3991","399100","19955", , , , , , ,"399100","450389","2204720"
"Line(00700)", ,"53","ANESTHESIOLOGY","990704","176583","814121","200300","4307","414756","20738", , , , , , ,"414756","399365","575948"
"Line(00800)", ,"54","RADIOLOGY-DIAGNOSTIC","1273237","64861","1208376","225300","5617","608418","30421", , , , , , ,"608418","599958","664819"
"Line(00900)", ,"55","RADIOLOGY-THERAPEUTIC","3548677","2939226","609451","225300","2286","247613","12381", , , , ,"64635","11100","258713","350738","3289964"
"Line(01000)", ,"60","LABORATORY","5521610","3906730","1614880","215700","9470","982057","49103", , , , ,"60127","17585","999642","615238","4521968"
"Line(01100)", ,"70","ELECTROENCEPHALOGRAPHY","850939","774539","76400","177200","604","51456","2573", , , , ,"27106","2434","53890","22510","797049"
"Line(01200)", ,"66","PHYSICAL THERAPY","18180","7652","10528","177200","55","4686","234", , , , , , ,"4686","5842","13494"
"Line(01300)", ,"67","OCCUPATIONAL THERAPY","855284","692409","162875","177200","941","80166","4008", , , , ,"13168","2508","82674","80201","772610"
"Line(01400)", ,"76","AUDIOLOGY","52","30","22","177200","1","85","4", , , , , , ,"85", ,"30"
"Line(01500)", ,"65","RESPIRATORY THERAPY","36594","475","36119","177200","246","20957","1048", , , , ,"16","16","20973","15146","15621"
"Line(01600)", ,"76","CARDIOPULMONARY","1044374","523909","520465","177200","3343","284798","14240", , , , ,"578","288","285086","235379","759288"
"Line(01700)", ,"76","ULTRASOUND DIAGNOSTIC","755141","675725","79416","225300","389","42135","2107", , , , ,"170515","17933","60068","19348","695073"
"Line(01800)", ,"77","ORTHOTIC LAB","55226", ,"55226","177200","167","14227","711", , , , , , ,"14227","40999","40999"
"Line(01900)", ,"76","ECHOCARDIOGRAPHY","190971","99554","91417","177200","454","38677","1934", , , , , , ,"38677","52740","152294"
"Line(02000)", ,"76","ENDOSCOPY","1272951","1082007","190944","177200","1086","92519","4626", , , , ,"12849","1927","94446","96498","1178505"
"Line(02100)", ,"77","CEP TESTING","558419","486235","72184","177200","579","49326","2466", , , , ,"16497","2132","51458","20726","506961"
"Line(02200)", ,"76","ONCOLOGY","3054659","2514380","540279","177200","3953","336765","16838", , , , ,"79201","14008","350773","189506","2703886"
"Line(02300)", ,"77","SMH MEDICAL ONCOLOGY AT PLUTA","601911","601911", ,"177200", , , , , , , , , , , ,"601911"
"Line(02400)", ,"77","SMH RADIATION ONCOLOGY AT PLUTA","578633","578633", ,"177200", , , , , , , ,"14178", , , ,"578633"
"Line(02500)", ,"77","HYPERBARIC OXYGEN THERAPY","105410","57579","47831","177200","143","12183","609", , , , , , ,"12183","35648","93227"
"Line(02600)", ,"76","NUTRITIONAL COUNSELING","72107", ,"72107","177200","461","39274","1964", , , , , , ,"39274","32833","32833"
"Line(02700)", ,"77","LITHOTRIPSY","39028", ,"39028","177200","103","8775","439", , , , , , ,"8775","30253","30253"
"Line(02800)", ,"30","ADULTS & PEDIATRICS","1348942","694701","654241","177200","4394","374335","18717", , , , ,"11617","5634","379969","274272","968973"
"Line(02900)", ,"31","INTENSIVE CARE UNIT","449617","136567","313050","177200","2085","177626","8881", , , , ,"2383","1659","179285","133765","270332"
"Line(03000)", ,"30","ADULTS & PEDIATRICS","105104", ,"105104","140600","696","47047","2352", , , , , , ,"47047","58057","58057"
