"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 553807"," Report A6000Y0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[553807] Report(A6000Y0)","Entity[553807] Report(A6000Y0[00000])","Entity[553807] Report(A6000Y0[00100])", ,"Entity[553807] Report(A6000Y0[00300])","Entity[553807] Report(A6000Y0[00400])", , ,"Entity[553807] Report(A6000Y0[00700])","Entity[553807] Report(A6000Y0[00800])"
"Line(00100)","INTERNS & RESIDENTS SALARY EXPENSE","Y", ,"21","3909718", , ,"18","1590"
"Line(00200)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"5","1160727"
"Line(00300)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"55","13733"
"Line(00400)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"60","117"
"Line(00500)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"70","79121"
"Line(00600)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"76","270983"
"Line(00700)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"74","57255"
"Line(00800)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"76","479000"
"Line(00900)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"77","12953"
"Line(01000)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"76","420593"
"Line(01100)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"77","675"
"Line(01200)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"30","138083"
"Line(01300)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"31","441632"
"Line(01400)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"33","11760"
"Line(01500)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"35","160258"
"Line(01600)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"90","489089"
"Line(01700)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"105","57255"
"Line(01800)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"107","14000"
"Line(01900)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"91","96626"
"Line(02000)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"106","668"
"Line(02100)","INTERNS & RESIDENTS SALARY EXPENSE","Y", , , , , ,"194","3600"
